Equation,Dataset,Scale,Config_ID,Time_Mean_RMSE,Final_Step_RMSE,Time_Callable,RMSE
Perturbation,Caspio,3,nvec_20_cuda_upwind_True,,,0.21305846195900813,0.0002856511763292683
Perturbation,Caspio,3,nvec_20_cuda_upwind_False,,,0.20044777303701267,0.0002856511763292683
Perturbation,Metztitlán,1,nvec_20_cpu_upwind_True,,,0.010681579005904496,1.5450805931310786e-05
Perturbation,Metztitlán,1,nvec_20_cpu_upwind_False,,,0.011093878012616187,1.5450805931310786e-05
Perturbation,Metztitlán,1,nvec_20_cuda_upwind_True,,,0.020387466996908188,1.5450805931311504e-05
Perturbation,Metztitlán,1,nvec_20_cuda_upwind_False,,,0.02691313298419118,1.5450805931311504e-05
Perturbation,Metztitlán,2,nvec_20_cpu_upwind_True,,,0.06074878200888634,1.7125987126775123e-05
Perturbation,Metztitlán,2,nvec_20_cpu_upwind_False,,,0.05857808195287362,1.7125987126775123e-05
Perturbation,Metztitlán,2,nvec_20_cuda_upwind_True,,,0.07421563699608669,1.7125987126775197e-05
Perturbation,Metztitlán,2,nvec_20_cuda_upwind_False,,,0.08311828604200855,1.7125987126775197e-05
Perturbation,Metztitlán,3,nvec_20_cpu_upwind_True,,,0.13088649098062888,0.00010832762815757247
Perturbation,Metztitlán,3,nvec_20_cpu_upwind_False,,,0.13317830604501069,0.00010832762815757247
Perturbation,Metztitlán,3,nvec_20_cuda_upwind_True,,,0.15744821698172018,0.0001083276281575787
Perturbation,Metztitlán,3,nvec_20_cuda_upwind_False,,,0.16218733799178153,0.0001083276281575787
Perturbation,Ness,1,nvec_20_cpu_upwind_True,,,0.024322969955392182,1.1623147893566719e-06
Perturbation,Ness,1,nvec_20_cpu_upwind_False,,,0.005993091035634279,1.1623147893566719e-06
Perturbation,Ness,1,nvec_20_cuda_upwind_True,,,0.013137230009306222,1.162314789356672e-06
Perturbation,Ness,1,nvec_20_cuda_upwind_False,,,0.013488436001352966,1.162314789356672e-06
Perturbation,Ness,2,nvec_20_cpu_upwind_True,,,0.04230197495780885,4.4099274476328954e-06
Perturbation,Ness,2,nvec_20_cpu_upwind_False,,,0.026830729970242828,4.4099274476328954e-06
Perturbation,Ness,2,nvec_20_cuda_upwind_True,,,0.05258850601967424,4.409927447632966e-06
Perturbation,Ness,2,nvec_20_cuda_upwind_False,,,0.04061893402831629,4.409927447632966e-06
Perturbation,Ness,3,nvec_20_cpu_upwind_True,,,0.050306610006373376,6.9542504957670715e-06
Perturbation,Ness,3,nvec_20_cpu_upwind_False,,,0.06290714797796682,6.9542504957670715e-06
Perturbation,Ness,3,nvec_20_cuda_upwind_True,,,0.0815247040009126,6.954250495767146e-06
Perturbation,Ness,3,nvec_20_cuda_upwind_False,,,0.09424713999032974,6.954250495767146e-06
Perturbation,Huron,1,nvec_20_cpu_upwind_True,,,0.01626498601399362,0.000430062426881554
Perturbation,Huron,1,nvec_20_cpu_upwind_False,,,0.019446061982307583,0.000430062426881554
Perturbation,Huron,1,nvec_20_cuda_upwind_True,,,0.03059907996794209,0.0004300624268815473
Perturbation,Huron,1,nvec_20_cuda_upwind_False,,,0.02825805201428011,0.0004300624268815473
Perturbation,Huron,2,nvec_20_cpu_upwind_True,,,0.08243464195402339,0.00015943995211449864
Perturbation,Huron,2,nvec_20_cpu_upwind_False,,,0.07949887396534905,0.00015943995211449864
Perturbation,Huron,2,nvec_20_cuda_upwind_True,,,0.10174531996017322,0.00015943995211448726
Perturbation,Huron,2,nvec_20_cuda_upwind_False,,,0.101227353035938,0.00015943995211448726
Perturbation,Huron,3,nvec_20_cpu_upwind_True,,,0.15835820598294958,0.00011553465086635988
Perturbation,Huron,3,nvec_20_cpu_upwind_False,,,0.14695810503326356,0.00011553465086635988
Perturbation,Huron,3,nvec_20_cuda_upwind_True,,,0.2149873499874957,0.0001155346508663586
Perturbation,Huron,3,nvec_20_cuda_upwind_False,,,0.21093330503208563,0.0001155346508663586
Perturbation,Chapala,1,nvec_20_cpu_upwind_True,,,0.017519036016892642,6.027993884579065e-06
Perturbation,Chapala,1,nvec_20_cpu_upwind_False,,,0.01778308901702985,6.027993884579065e-06
Perturbation,Chapala,1,nvec_20_cuda_upwind_True,,,0.031993881973903626,6.027993884579514e-06
